0, Program_c, 0
16600, Note_off_c, 61, 64
16672, Control_c, 64, 127
16672, Control_c, 64, 127
16755, Note_off_c, 69, 64
16783, Note_on_c, 61, 70
16783, Note_on_c, 54, 71
16786, Note_on_c, 69, 72
16791, Note_on_c, 66, 70
16800, Control_c, 64, 127
16800, Control_c, 64, 127
16820, Note_off_c, 61, 64
16830, Note_off_c, 54, 64
16983, Note_on_c, 40, 67
16988, Control_c, 64, 0
16988, Control_c, 64, 0
17019, Control_c, 64, 127
17019, Control_c, 64, 127
17116, Note_on_c, 71, 52
17122, Note_off_c, 69, 64
17149, Note_off_c, 66, 64
17152, Note_on_c, 69, 55
17169, Note_off_c, 71, 64
17176, Note_on_c, 64, 41
17178, Note_on_c, 52, 52
17186, Note_on_c, 59, 44
17191, Note_on_c, 68, 70
17194, Note_off_c, 40, 64
17195, Control_c, 64, 0
17195, Control_c, 64, 0
17198, Note_off_c, 69, 64
17229, Control_c, 64, 127
17229, Control_c, 64, 127
17244, Note_off_c, 59, 64
17245, Note_off_c, 52, 64
17257, Note_off_c, 64, 64
